task number,Enters,Leaves
1,,601.2
2,621.15,671.85
3,722.2,741.12
4,792,814
5,862.74,884.4
6,935,960
7,1014,1029
8,1080,1104
9,1157,1178
10,1231,1263
11,1310,1340
12,1390,1431
13,1482,1509
14,1555,1584
15,1630,1663
16,1710,1744
17,1796,1820
18,1870,1908
19,1960,1984
20,2035,2054
21,2103,2132
22,2183,2205
23,2252,2292
24,2338,2372
25,2422,2448
26,2496,2527
27,2574,2600
28,2652,2668
29,2714,2731
30,2778,2896
31,2934,2928
32,2943,2994
33,3044,3145
34,3168,3190
35,3214,3225
36,3252,3280
37,3307,3323
38,3350,3407
39,3434,3452
40,3478,3493
41,3521,3534
42,3561,3579
43,3606,3619
44,3645,3660
45,3686,3706
46,3735,3761
47,3788,3807
48,3825,3829
49,3848,3875
50,3924,3953
51,3976,4026
52,4054,4084
53,4112,4129
54,4157,4166
55,4192,4210
56,4236,4266
57,4295,4325
58,4357,4373
59,4400,4419
60,4448,4464
61,4490,4518
62,4569,4600
63,4654,4690
64,4747,4792
65,4849,4877
66,4929,4950
67,5001,5034
68,5090,5122
69,5182,5296
70,5356,5460
71,5512,5546
72,5599,5634
73,5695,5772
74,5831,5911
75,5970,6007
76,6060,6130
77,6184,6227
78,6261,6270
79,6287,6307
80,6364,6442
81,6499,6533
82,6591,6630
83,6686,6755
84,6812,6863
85,6923,6959
86,7017,7042
87,7104,7180
88,7233,7274
89,7338,7374
90,7438,7470
91,7528,7577
92,7631,7655
93,7708,7732
94,7786,7882
95,7929,7955
96,8005,8076
97,8110,8121
98,8141,8160
99,8213,8254
100,8310,8352
101,8406,8427
102,8461,8468
103,8491,8519
104,8578,8609
105,8666,8698
106,8758,8774
107,8838,8876
108,8938,8977
109,9038,9068
110,9129,9159
111,9215,9235
112,9289,9308
113,9368,9417
114,9469,
