task number,Enters,Leaves
1,,29
2,89,121
3,177,237
4,292,322
5,378,404
6,464,492
7,546,567
8,615,660
9,714,759
10,812,840
11,891,910
12,966,990
13,1044,1069
14,1126,1149
15,1204,1234
16,1289,1316
17,1374,1401
18,1463,1483
19,1540,1586
20,1641,1665
21,1721,1742
22,1794,1834
23,1886,1907
24,1958,1994
25,2048,2084
26,2140,2170
27,2228,2303
28,2363,2429
29,2484,2503
30,2560,2586
31,2649,2671
32,2731,2756
33,2817,2840
34,2900,2922
35,2983,3004
36,3069,3218
37,3275,3308
38,3366,3390
39,3451,3489
40,3547,3577
41,3636,3740
42,3802,3840
43,3900,3933
44,3992,4016
45,4076,4152
46,4204,4249
47,4309,4350
48,4406,4440
49,4504,4543
50,4601,4667
51,4731,4777
52,4834,4866
53,4923,4952
54,5013,5174
55,5235,5278
56,5338,5358
57,5416,5453
58,5513,5538
59,5603,5625
60,5691,5719
61,5780,5807
62,5867,5891
63,5954,5976
64,6036,6059
65,6122,6141
66,6202,6237
67,6299,6317
68,6382,6408
69,6473,6496
70,6560,6589
71,6651,6678
72,6744,6751
73,6812,6834
74,6900,6919
75,6983,7015
76,7081,7100
77,7168,7202
78,7272,7347
79,7412,7434
80,7504,7529
81,7597,7620
82,7686,7709
83,7777,7793
84,7859,7886
85,7949,7997
86,8062,8089
87,8158,8183
88,8250,8277
89,8347,8372
90,8434,8471
91,8539,8581
92,8648,8678
93,8747,8789
94,8859,8882
95,8949,8975
96,9041,9092
97,9155,9194
98,9263,9300
99,9370,9407
100,9470,9583
101,9646,9731
102,9799,9830
103,9895,9926
104,9995,10116
105,10197,10224
106,10300,10324
107,10410,10458
108,10536,10566
109,10650,10685
110,10778,10817
111,10906,
