task number,Enters,Leaves
1,,19
2,78,106
3,161,184
4,240,260
5,316,332
6,387,416
7,467,489
8,546,566
9,620,646
10,703,719
11,775,792
12,848,884
13,934,952
14,1008,1024
15,1080,1100
16,1155,1172
17,1226,1249
18,1306,1321
19,1379,1421
20,1478,1498
21,1554,1569
22,1626,1640
23,1697,1712
24,1770,1806
25,1860,1876
26,1936,1954
27,2014,2026
28,2087,2101
29,2161,2176
30,2235,2251
31,2311,2328
32,2388,2401
33,2458,2475
34,2535,2549
35,2610,2625
36,2686,2700
37,2764,2837
38,2890,2920
39,2975,3002
40,3058,3080
41,3136,3190
42,3242,3323
43,3374,3400
44,3452,3471
45,3525,3550
46,3603,3697
47,3747,3788
48,3843,3865
49,3920,3941
50,3996,4010
51,4067,4094
52,4151,4171
53,4229,4261
54,4317,4331
55,4393,4450
56,4504,4518
57,4575,4589
58,4647,4661
59,4718,4733
60,4793,4806
61,4865,4960
62,5012,5034
63,5090,5111
64,5169,5187
65,5245,5265
66,5324,5342
67,5400,5420
68,5476,5503
69,5561,5584
70,5638,5677
71,5734,5756
72,5811,5827
73,5883,5916
74,5970,6036
75,6089,6116
76,6171,6190
77,6246,6270
78,6330,6349
79,6406,6421
80,6475,6488
81,6541,6556
82,6610,6626
83,6678,6704
84,6761,6778
85,6829,6842
86,6895,6906
87,6958,6971
88,7026,7042
89,7097,7113
90,7170,7183
91,7240,7353
92,7406,7426
93,7479,7498
94,7551,7567
95,7623,7638
96,7693,7715
97,7771,7788
98,7844,7863
99,7917,7942
100,7997,8016
101,8073,8092
102,8148,8161
103,8216,8247
104,8302,8332
105,8386,8405
106,8465,8499
107,8558,8578
108,8632,8653
109,8711,8735
110,8791,8810
111,8864,8882
112,8937,8954
113,9009,9029
114,9083,9118
115,9171,9199
116,9250,9269
117,9326,9346
118,9400,9417
119,9473,9493
120,9547,9562
121,9617,9637
122,9691,9718
123,9774,9790
124,9850,9866
125,9922,9944
126,10000,10024
127,10082,10116
128,10167,10184
129,10238,10255
130,10309,10332
131,10385,10400
132,10453,10470
133,10525,10545
134,10600,10617
135,10670,10685
136,10739,10760
137,10812,
