task number,Enters,Leaves
1,,70
2,141,196
3,267,305
4,372,428
5,488,515
6,589,612
7,684,748
8,812,851
9,924,968
10,1030,1077
11,1148,1203
12,1279,1317
13,1382,1417
14,1489,1529
15,1600,1648
16,1718,1766
17,1840,1911
18,1983,2017
19,2088,2178
20,2252,2296
21,2363,2429
22,2495,2536
23,2610,2666
24,2736,2775
25,2856,2899
26,2973,3063
27,3135,3193
28,3274,3339
29,3420,3462
30,3535,3567
31,3641,3822
32,3906,3961
33,4055,4113
34,4202,4254
35,4352,4392
36,4479,4523
37,4599,4730
38,4804,4897
39,4976,5090
40,5173,5255
41,5339,5408
42,5485,5531
43,5614,5734
44,5813,5918
45,5997,6059
46,6133,6385
47,6464,6539
48,6615,6761
49,6837,6945
50,7021,7055
51,7127,7193
52,7266,7430
53,7509,7631
54,7705,
