task number,Enters,Leaves
1,,40
2,103,142
3,200,229
4,285,321
5,379,424
6,480,511
7,563,615
8,668,720
9,772,802
10,866,900
11,953,980
12,1034,1067
13,1122,1149
14,1201,1247
15,1293,1328
16,1379,1409
17,1458,1485
18,1536,1564
19,1614,1678
20,1728,1760
21,1811,1860
22,1912,1970
23,2020,2051
24,2102,2147
25,2193,2231
26,2282,2315
27,2369,2443
28,2491,2522
29,2572,2606
30,2655,2692
31,2742,2791
32,2851,2915
33,2966,3079
34,3130,3167
35,3219,3245
36,3298,3323
37,3393,3460
38,3563,3604
39,3655,3709
40,3763,3812
41,3865,3905
42,3962,3995
43,4048,4081
44,4134,4242
45,4298,4328
46,4383,4414
47,4468,4508
48,4562,4601
49,4656,4694
50,4748,4779
51,4844,4896
52,4950,4978
53,5034,5062
54,5118,5139
55,5194,5239
56,5305,5333
57,5389,5428
58,5484,5525
59,5582,5609
60,5672,5699
61,5755,5788
62,5846,5874
63,5932,5964
64,6024,6053
65,6119,6169
66,6229,6270
67,6330,6367
68,6427,6457
69,6515,6547
70,6606,6640
71,6700,6740
72,6800,6838
73,6909,6964
74,7027,7069
75,7133,7170
76,7241,7282
77,7340,7453
78,7515,7548
79,7610,7653
80,7716,7763
81,7824,7865
82,7928,7959
83,8020,8045
84,8108,8134
85,8198,8225
86,8297,8323
87,8381,8418
88,8477,8506
89,8567,8594
90,8672,8700
91,8763,8802
92,8864,8898
93,8959,9007
94,9077,9138
95,9199,9247
96,9311,9338
97,9397,9421
98,9483,9516
99,9575,9607
100,9667,9714
101,9776,9821
102,9879,9917
103,9986,10014
104,10077,10110
105,10174,10203
106,10262,10297
107,10357,10387
108,10460,10487
109,10547,10590
110,10657,10682
111,10749,
