task number,Enters,Leaves
1,,47
2,109,143
3,208,250
4,313,370
5,436,471
6,545,580
7,649,741
8,811,849
9,920,1012
10,1074,1115
11,1197,1263
12,1333,1373
13,1442,1477
14,1562,1589
15,1661,1698
16,1769,1802
17,1874,1934
18,2002,2035
19,2105,2215
20,2284,2324
21,2395,2427
22,2491,2562
23,2636,2676
24,2746,2792
25,2877,2906
26,2996,3024
27,3125,3223
28,3296,3337
29,3419,3459
30,3541,3576
31,3663,3784
32,3862,3901
33,3985,4025
34,4121,4156
35,4268,4358
36,4433,4468
37,4545,4622
38,4712,4753
39,4844,4914
40,5002,5031
41,5127,5155
42,5240,5305
43,5391,5439
44,5541,5604
45,5715,5755
46,5876,5916
47,6017,6101
48,6210,6256
49,6366,6408
50,6506,6535
51,6669,6719
52,6847,6879
53,7005,7042
54,7167,7196
55,7283,7373
56,7503,7581
57,7694,7751
58,7921,7978
59,8118,8159
60,8281,8321
61,8459,8510
62,8641,8683
63,8796,8833
64,8941,8992
65,9144,9211
66,9381,9419
67,9555,9605
68,9777,9836
69,9898,9950
70,10025,10047
71,10133,10153
72,10215,10243
73,10311,10339
74,10398,10456
75,10550,10580
76,10665,10696
77,10799,
