task number,Enters,Leaves
1,,24
2,92,133
3,204,241
4,317,350
5,423,456
6,526,554
7,622,654
8,724,757
9,829,858
10,932,966
11,1039,1075
12,1148,1177
13,1247,1275
14,1346,1373
15,1445,1471
16,1544,1576
17,1645,1675
18,1746,1782
19,1852,1922
20,1993,2023
21,2091,2118
22,2186,2214
23,2285,2315
24,2388,2417
25,2486,2521
26,2600,2624
27,2696,2720
28,2795,2820
29,2893,2921
30,2989,3070
31,3141,3179
32,3251,3279
33,3352,3375
34,3446,3473
35,3548,3574
36,3644,3726
37,3798,3879
38,3947,3975
39,4046,4072
40,4145,4179
41,4254,4282
42,4355,4391
43,4465,4502
44,4577,4611
45,4689,4724
46,4796,4824
47,4893,4918
48,4989,5030
49,5103,5137
50,5210,5236
51,5308,5339
52,5413,5448
53,5520,5546
54,5617,5644
55,5721,5757
56,5835,5868
57,5944,5994
58,6072,6108
59,6185,6217
60,6291,6321
61,6393,6428
62,6504,6536
63,6612,6643
64,6719,6765
65,6841,6867
66,6941,6970
67,7044,7072
68,7146,7180
69,7255,7335
70,7409,7444
71,7515,7553
72,7628,7656
73,7727,7761
74,7836,7886
75,7959,7993
76,8062,8089
77,8163,8190
78,8262,8293
79,8369,8396
80,8467,8503
81,8577,8613
82,8683,8711
83,8782,8810
84,8885,8914
85,8986,9018
86,9092,9140
87,9229,9259
88,9333,9357
89,9430,9467
90,9542,9569
91,9641,9681
92,9755,9779
93,9848,9874
94,9948,9979
95,10053,10084
96,10161,10197
97,10275,10300
98,10374,10412
99,10484,10521
100,10595,10624
101,10700,10729
102,10797,
