task number,Enters,Leaves
1,,23
2,100,167
3,235,271
4,341,403
5,478,510
6,580,629
7,696,729
8,796,835
9,900,930
10,1000,1043
11,1108,1138
12,1202,1236
13,1297,1333
14,1397,1429
15,1493,1531
16,1597,1628
17,1681,1709
18,1769,1796
19,1856,1897
20,1956,1983
21,2040,2073
22,2134,2169
23,2225,2256
24,2317,2352
25,2412,2456
26,2514,2544
27,2609,2659
28,2743,2777
29,2844,2869
30,2932,3022
31,3084,3130
32,3182,3237
33,3296,3401
34,3458,3488
35,3550,3596
36,3653,3714
37,3767,3815
38,3869,3899
39,3952,4002
40,4060,4108
41,4175,4217
42,4277,4344
43,4402,4462
44,4520,4554
45,4597,4653
46,4696,4718
47,4766,4781
48,4834,4875
49,4937,4970
50,5034,5059
51,5122,5162
52,5224,5254
53,5310,5337
54,5396,5429
55,5497,5519
56,5585,5620
57,5688,5723
58,5790,5820
59,5878,5900
60,5958,5978
61,6036,6056
62,6117,6144
63,6208,6228
64,6296,6318
65,6384,6407
66,6480,6512
67,6579,6652
68,6732,6757
69,6823,6875
70,6946,6993
71,7063,7099
72,7180,7220
73,7300,7338
74,7408,7466
75,7543,7579
76,7668,7724
77,7793,7834
78,7912,7939
79,8002,8029
80,8100,8126
81,8199,8227
82,8290,8316
83,8379,8398
84,8461,8560
85,8629,8686
86,8754,8798
87,8869,8921
88,8984,9065
89,9140,9175
90,9237,9274
91,9350,9383
92,9454,9483
93,9555,9605
94,9674,9710
95,9783,9823
96,9894,9928
97,9994,10027
98,10080,10103
99,10153,10170
100,10228,
