task number,Enters,Leaves
1,,23
2,85,113
3,172,204
4,262,286
5,344,364
6,419,437
7,493,515
8,571,590
9,643,677
10,731,752
11,805,823
12,879,899
13,953,971
14,1028,1046
15,1102,1120
16,1178,1196
17,1254,1272
18,1330,1347
19,1409,1476
20,1530,1553
21,1609,1633
22,1690,1712
23,1769,1794
24,1851,1878
25,1932,1977
26,2034,2056
27,2114,2139
28,2196,2220
29,2278,2302
30,2358,2388
31,2443,2473
32,2528,2549
33,2607,2629
34,2688,2712
35,2774,2804
36,2863,2886
37,2950,2991
38,3047,3093
39,3151,3171
40,3231,3261
41,3319,3345
42,3403,3447
43,3505,3527
44,3585,3609
45,3665,3729
46,3784,3801
47,3857,3873
48,3929,3943
49,4003,4031
50,4088,4103
51,4160,4177
52,4234,4260
53,4315,4335
54,4392,4408
55,4466,4525
56,4585,4604
57,4661,4681
58,4738,4768
59,4825,4839
60,4898,4914
61,4972,4989
62,5049,5071
63,5130,5146
64,5205,5228
65,5286,5307
66,5366,5386
67,5446,5493
68,5548,5586
69,5643,5664
70,5720,5737
71,5796,5813
72,5871,5885
73,5944,5969
74,6029,6050
75,6109,6124
76,6181,6199
77,6257,6274
78,6334,6350
79,6412,6431
80,6490,6512
81,6570,6593
82,6654,6674
83,6734,6758
84,6815,6835
85,6891,6917
86,6973,6996
87,7053,7075
88,7129,7152
89,7206,7225
90,7281,7347
91,7399,7437
92,7495,7518
93,7575,7593
94,7646,7676
95,7730,7746
96,7801,7819
97,7874,7890
98,7946,7972
99,8028,8043
100,8098,8118
101,8173,8198
102,8254,8273
103,8329,8350
104,8406,8422
105,8478,8493
106,8548,8571
107,8628,8644
108,8702,8715
109,8773,8843
110,8973,8999
111,9052,9073
112,9128,9147
113,9203,9224
114,9279,9301
115,9355,9372
116,9428,9444
117,9499,9514
118,9569,9590
119,9647,9666
120,9722,9747
121,9802,9818
122,9880,9895
123,9951,9967
124,10029,10045
125,10109,10125
126,10186,10203
127,10265,10291
128,10351,10373
129,10430,10450
130,10515,10533
131,10593,10610
132,10669,10688
133,10756,10792
134,10855,
