task number,Enters,Leaves
1,,87
2,158,186
3,236,261
4,308,361
5,410,452
6,512,534
7,580,604
8,653,686
9,732,756
10,805,835
11,885,910
12,958,982
13,1032,1057
14,1107,1137
15,1188,1210
16,1258,1285
17,1331,1363
18,1414,1444
19,1494,1600
20,1649,1674
21,1735,1765
22,1815,1853
23,1927,1960
24,2009,2048
25,2096,2149
26,2200,2226
27,2273,2309
28,2357,2385
29,2436,2488
30,2552,2590
31,2644,2676
32,2726,2757
33,2815,2840
34,2890,2924
35,2980,3017
36,3066,3097
37,3147,3257
38,3314,3330
39,3396,3422
40,3472,3538
41,3588,3619
42,3667,3752
43,3812,3854
44,3908,3929
45,3978,4029
46,4083,4111
47,4159,4209
48,4256,4302
49,4349,4385
50,4443,4473
51,4523,4556
52,4618,4644
53,4691,4724
54,4772,4794
55,4842,4919
56,4965,4989
57,5036,5075
58,5122,5151
59,5198,5266
60,5311,5332
61,5380,5404
62,5454,5492
63,5539,5579
64,5632,5675
65,5739,5772
66,5831,5866
67,5917,5972
68,6025,6049
69,6099,6161
70,6212,6237
71,6290,6320
72,6381,6423
73,6477,6563
74,6616,6666
75,6723,6749
76,6804,6825
77,6893,6934
78,6991,7032
79,7092,7118
80,7178,7207
81,7265,7377
82,7436,7450
83,7523,7560
84,7623,7651
85,7711,7743
86,7813,7837
87,7895,7938
88,8003,8040
89,8104,8146
90,8221,8252
91,8314,8437
92,8500,8546
93,8608,8645
94,8709,8748
95,8811,8836
96,8897,8932
97,8993,9085
98,9145,9191
99,9252,9282
100,9342,9368
101,9428,9463
102,9524,9553
103,9617,9658
104,9725,9754
105,9815,9838
106,9897,9945
107,10004,10036
108,10099,10130
109,10192,10245
110,10306,10332
111,10415,10442
112,10513,10533
113,10590,10623
114,10682,10714
115,10771,10813
116,10875,
