task number,Enters,Leaves
1,,31
2,158,186
3,254,283
4,350,396
5,466,488
6,556,598
7,665,702
8,773,800
9,869,899
10,970,996
11,1068,1099
12,1205,1264
13,1332,1372
14,1443,1469
15,1540,1576
16,1648,1680
17,1749,1784
18,1853,1903
19,1975,2048
20,2123,2154
21,2228,2267
22,2337,2368
23,2439,2496
24,2568,2593
25,2663,2691
26,2765,2800
27,2872,2900
28,2978,3023
29,3096,3125
30,3200,3228
31,3305,3336
32,3413,3443
33,3521,3548
34,3624,3758
35,3847,3902
36,3980,4012
37,4093,4169
38,4249,4301
39,4383,4419
40,4491,4549
41,4625,4657
42,4733,4765
43,4837,4879
44,4953,4984
45,5059,5144
46,5213,5262
47,5334,5365
48,5436,5471
49,5544,5571
50,5641,5665
51,5736,5759
52,5827,5849
53,5916,5941
54,6013,6055
55,6118,6467
56,6546,6575
57,6659,6710
58,6787,6816
59,6895,6925
60,7004,7033
61,7114,7144
62,7222,7246
63,7328,7359
64,7440,7475
65,7557,7588
66,7674,7701
67,7780,7813
68,7893,8043
69,8121,8168
70,8243,8279
71,8354,8391
72,8467,8532
73,8604,8720
74,8790,8822
75,8902,8926
76,9005,9079
77,9144,9200
78,9275,9309
79,9385,9460
80,9533,9570
81,9648,9681
82,9757,9808
83,9888,9923
84,10004,10054
85,10119,10144
86,10237,10269
87,10351,10403
88,10466,10484
89,10550,10580
90,10644,10666
91,10731,
