task number,Enters,Leaves
1,,101
2,220,277
3,368,424
4,520,559
5,638,670
6,758,820
7,921,965
8,1053,1103
9,1179,1224
10,1316,1360
11,1453,1518
12,1602,1700
13,1785,1865
14,1955,2015
15,2109,2147
16,2234,2273
17,2372,2420
18,2501,2550
19,2630,2695
20,2776,2858
21,2954,3010
22,3119,3166
23,3252,3330
24,3425,3516
25,3614,3699
26,3784,3842
27,3936,3987
28,4078,4125
29,4202,4281
30,4364,4405
31,4491,4524
32,4625,4705
33,4787,4894
34,4985,5089
35,5198,5226
36,5305,5336
37,5423,5521
38,5674,5749
39,5833,5924
40,6014,6152
41,6250,6306
42,6405,6466
43,6559,6667
44,6752,6812
45,6891,6977
46,7059,7099
47,7180,7214
48,7311,7411
49,7496,7562
50,7647,7687
51,7769,7837
52,7934,7975
53,8083,8120
54,8243,8296
55,8386,8428
56,8513,8561
57,8651,8691
58,8787,8841
59,8977,9020
60,9106,9162
61,9243,9276
62,9365,9403
63,9503,9529
64,9677,9713
65,9791,9835
66,9934,9957
67,10048,10077
68,10177,10211
69,10295,10323
70,10421,10454
71,10549,10591
72,10713,10761
73,10862,
